"Line","Fields","Drug","MechAr"
"3296","Management","'Digoxin', 'Metoclopramide', InteractionType.DRUG_DRUG, InteractionSev",""
"3298","Effect, Management","'Digoxin', 'Cholestyramine', InteractionType.DRUG_DRUG, InteractionSev",""
"3300","Mechanism, Effect","'Digoxin', 'Licorice', InteractionType.DRUG_FOOD, InteractionSeverity.","'فقدان البوتاسيوم.',"
"3309","Mechanism, Effect","'Digoxin', 'Furosemide', InteractionType.DRUG_DRUG, InteractionSeverit","'مدرات البول تسبب نقص البوتاسيوم (Hypokalemia).',"
"3318","Mechanism, Effect","'Digoxin', 'Amiodarone / Quinidine / Verapamil', InteractionType.DRUG_","'هذه الأدوية تقلل من إطراح الديجوكسين وتزيد تركيزه.',"
"3327","Mechanism, Effect","'Digoxin', 'Licorice', InteractionType.DRUG_FOOD, InteractionSeverity.","'العرقسوس يسبب احتباس الصوديوم وفقدان البوتاسيوم.',"
"3336","Mechanism, Effect","'Digoxin', 'Carbamazepine', InteractionType.DRUG_DRUG, InteractionSeve","'زيادة استقلاب الديجوكسين (تُرجح)، مما يؤدي لتقليل تركيزه',"
"3345","Mechanism, Effect","'Digoxin', 'Ciclosporin', InteractionType.DRUG_DRUG, InteractionSeveri","'تزداد تراكيز الديجوكسين (بسبب تثبيط P-gp)',"
"3354","Mechanism, Effect","'Disopyramide', 'Ethotoin', InteractionType.DRUG_DRUG, InteractionSeve","'الإيثوتوين يحفز إنزيمات الكبد المسؤولة عن استقلاب الديسوبير"
"3363","Mechanism, Effect","'Disopyramide', 'Fosphenytoin', InteractionType.DRUG_DRUG, Interaction","'الفوسفينيتوين يحفز إنزيمات الكبد المسؤولة عن استقلاب الديسو"
"3372","Mechanism, Effect","'Disopyramide', 'Mephenytoin', InteractionType.DRUG_DRUG, InteractionS","'الميفينيتوين يحفز إنزيمات الكبد المسؤولة عن استقلاب الديسوب"
"3381","Mechanism, Effect","'Disopyramide', 'Phenytoin', InteractionType.DRUG_DRUG, InteractionSev","'الفينيتوين يحفز إنزيمات الكبد المسؤولة عن استقلاب الديسوبير"
"3390","Mechanism, Effect","'Disopyramide', 'Gatifloxacin', InteractionType.DRUG_DRUG, Interaction","'كلا الدوائين يطيلان فترة QT في تخطيط القلب الكهربائي',"
"3399","Mechanism, Effect","'Disopyramide', 'Moxifloxacin', InteractionType.DRUG_DRUG, Interaction","'كلا الدوائين يطيلان فترة QT في تخطيط القلب الكهربائي',"
"3408","Mechanism, Effect","'Disopyramide', 'Sparfloxacin', InteractionType.DRUG_DRUG, Interaction","'كلا الدوائين يطيلان فترة QT في تخطيط القلب الكهربائي',"
"3421","Management","'Disopyramide ', 'Ofloxacin', InteractionType.DRUG_DRUG, InteractionSe",""
"3423","Effect, Management","'Disopyramide ', 'Norfloxacin', InteractionType.DRUG_DRUG, Interaction",""
"3425","Mechanism, Effect","'Disopyramide', 'Rifampin', InteractionType.DRUG_DRUG, InteractionSeve","'الريفامبين يحفز إنزيمات الكبد المسؤولة عن استقلاب الديسوبير"
"3450","Management","'Domperidone', 'Magnesium Hydroxide', InteractionType.DRUG_DRUG, Inter",""
"3452","Effect, Management","'Domperidone', 'Calcium Carbonate', InteractionType.DRUG_DRUG, Interac",""
"3454","Mechanism, Effect","'Domperidone', 'CYP3A4 Inhibitors', InteractionType.DRUG_DRUG, Interac","'تثبيط إنزيم الأيض',"
"3501","Management","'Doxycycline', 'Hydantoins', InteractionType.DRUG_DRUG, InteractionSev",""
"3503","Effect, Management","'Doxycycline', 'Rifamycins', InteractionType.DRUG_DRUG, InteractionSev",""
"3505","Mechanism, Effect","'Doxycycline', 'Amoxicillin', InteractionType.DRUG_DRUG, InteractionSe","'يتناقص تركيز الدوكسي سيكلين.',"
"3514","Mechanism, Effect","'Doxycycline', 'Ampicillin', InteractionType.DRUG_DRUG, InteractionSev","'يتناقص تركيز الدوكسي سيكلين.',"
"3523","Mechanism, Effect","'Doxycycline', 'Penicillin V', InteractionType.DRUG_DRUG, InteractionS","'يتناقص تركيز الدوكسي سيكلين.',"
"3532","Mechanism, Effect","'Doxycycline', 'Penicillin G', InteractionType.DRUG_DRUG, InteractionS","'يتناقص تركيز الدوكسي سيكلين.',"
"3617","Management","'Ergot Alkaloids', 'NNRTIs', InteractionType.DRUG_DRUG, InteractionSev",""
"3619","Effect, Management","'Ergot Alkaloids', 'Protease Inhibitors', InteractionType.DRUG_DRUG, I",""
"3621","Mechanism, Effect","'Erythromycin', 'Bromocriptine', InteractionType.DRUG_DRUG, Interactio","'تزداد تراكيز البروموكريبتين',"
"3630","Mechanism, Effect","'Erythromycin', 'Grapefruit Juice', InteractionType.DRUG_FOOD, Interac","'تزداد تراكيز الإريثروميسين',"
"3655","Management","'Estrogens', 'Pentobarbital', InteractionType.DRUG_DRUG, InteractionSe",""
"3657","Effect, Management","'Estrogens', 'Secobarbital', InteractionType.DRUG_DRUG, InteractionSev",""
"3659","Mechanism, Effect","'Estrogens', 'Hydrocortisone', InteractionType.DRUG_DRUG, InteractionS","'تزيد تراكيز الهيدروكورتيزون في البلازما وتطيل فترة نصف عمره"
"3668","Mechanism, Effect","'Estrogens', 'Hydantoins', InteractionType.DRUG_DRUG, InteractionSever","'تتناقص فعالية الأستروجين (بسبب تحريض إنزيمات الكبد المسؤولة"
"3677","Mechanism, Effect","'Estrogens', 'Methylprednisolone', InteractionType.DRUG_DRUG, Interact","'تزيد الأستروجينات تراكيز القشرانيات السكرية (عبر زيادة الجل"
"3686","Mechanism, Effect","'Estrogens', 'Prednisolone', InteractionType.DRUG_DRUG, InteractionSev","'تزيد الأستروجينات تراكيز القشرانيات السكرية (عبر زيادة الجل"
"3695","Mechanism, Effect","'Estrogens', 'Rifampin', InteractionType.DRUG_DRUG, InteractionSeverit","'تتناقص تراكيز الأستروجينات (بسبب تحريض إنزيمات الكبد القوية"
"3704","Mechanism, Effect","'Ethanol', 'Acetaminophen', InteractionType.DRUG_DRUG, InteractionSeve","'يزيد السمية الكبدية للأسيتامينوفين (عبر تفعيل إنزيم CYP2E1 "
"3713","Mechanism, Effect","'Ethanol', 'Phenytoin', InteractionType.DRUG_DRUG, InteractionSeverity","'يزداد الاعتماد على الفينيتوئين مع إيثانول',"
"3744","Management","'Ethanol', 'Cefotaxime', InteractionType.DRUG_DRUG, InteractionSeverit",""
"3746","Effect, Management","'Ethanol', 'Chloral Hydrate', InteractionType.DRUG_DRUG, InteractionSe",""
"3748","Mechanism, Effect","'Ethanol', 'Disulfiram', InteractionType.DRUG_DRUG, InteractionSeverit","'توهج، غثيان، إيقاء، تعرق، تضيق قصبي، تسارع قلبي - وقد تتطور"
